,sentiment,time,,,
396,positive,2017-10-31 23:55:27+00:00,,,
397,positive,2017-10-31 22:01:57+00:00,,,
398,negative,2017-10-31 19:15:29+00:00,,,
399,positive,2017-10-31 18:57:20+00:00,,,
400,positive,2017-10-31 16:41:16+00:00,,,
401,negative,2017-10-31 16:31:09+00:00,,,
402,positive,2017-10-31 16:23:52+00:00,,,
403,positive,2017-10-31 16:00:07+00:00,,,
404,negative,2017-10-31 15:41:46+00:00,,,
405,positive,2017-10-31 15:19:37+00:00,,,
406,negative,2017-10-31 15:04:59+00:00,,,
407,positive,2017-10-31 14:54:26+00:00,,,
408,positive,2017-10-31 14:52:07+00:00,,,
409,positive,2017-10-31 14:13:40+00:00,,,
410,positive,2017-10-31 14:02:15+00:00,,,
411,positive,2017-10-31 12:06:10+00:00,,,
412,positive,2017-10-31 12:04:00+00:00,,,
413,positive,2017-10-31 11:24:31+00:00,,,
414,positive,2017-10-31 07:16:47+00:00,,,
415,positive,2017-10-31 06:18:42+00:00,,,
416,neutral,2017-10-30 22:11:07+00:00,,,
417,positive,2017-10-30 21:19:53+00:00,,,
418,positive,2017-10-30 20:59:03+00:00,,,
419,neutral,2017-10-30 20:35:57+00:00,,,
420,positive,2017-10-30 20:23:53+00:00,,,
421,positive,2017-10-30 18:25:59+00:00,,,
422,negative,2017-10-30 18:15:11+00:00,,,
423,positive,2017-10-30 17:55:42+00:00,,,
424,positive,2017-10-30 17:46:43+00:00,,,
425,positive,2017-10-30 17:40:55+00:00,,,
426,positive,2017-10-30 17:29:05+00:00,,,
427,negative,2017-10-30 17:19:53+00:00,,,
428,negative,2017-10-30 16:42:00+00:00,,,
429,positive,2017-10-30 15:16:41+00:00,,,
430,neutral,2017-10-30 14:51:30+00:00,,,
431,positive,2017-10-30 13:51:54+00:00,,,
432,positive,2017-10-30 03:27:35+00:00,,,
433,positive,2017-10-30 02:28:02+00:00,,,
434,neutral,2017-10-30 00:53:03+00:00,,,
435,positive,2017-10-29 17:48:24+00:00,,,
436,positive,2017-10-29 15:57:58+00:00,,,
437,negative,2017-10-29 15:50:39+00:00,,,
438,negative,2017-10-29 14:41:24+00:00,,,
439,positive,2017-10-29 05:23:40+00:00,,,
440,negative,2017-10-29 05:23:40+00:00,,,
441,positive,2017-10-29 04:36:01+00:00,,,
442,positive,2017-10-28 23:56:46+00:00,,,
443,neutral,2017-10-28 23:54:28+00:00,,,
444,neutral,2017-10-28 22:54:31+00:00,,,
445,positive,2017-10-28 21:15:42+00:00,,,
446,neutral,2017-10-28 20:52:31+00:00,,,
447,positive,2017-10-28 20:52:31+00:00,,,
448,negative,2017-10-28 20:52:31+00:00,,,
449,positive,2017-10-28 10:35:42+00:00,,,
450,positive,2017-10-28 06:50:27+00:00,,,
451,positive,2017-10-28 01:05:57+00:00,,,
452,positive,2017-10-28 01:03:53+00:00,,,
453,positive,2017-10-28 01:03:15+00:00,,,
454,positive,2017-10-27 23:24:25+00:00,,,
455,neutral,2017-10-27 23:09:42+00:00,,,
456,positive,2017-10-27 23:06:01+00:00,,,
457,positive,2017-10-27 22:26:01+00:00,,,
458,negative,2017-10-27 22:09:24+00:00,,,
459,positive,2017-10-27 21:23:40+00:00,,,
460,positive,2017-10-27 20:50:26+00:00,,,
461,positive,2017-10-27 18:02:07+00:00,,,
462,positive,2017-10-27 17:55:08+00:00,,,
463,positive,2017-10-27 17:17:31+00:00,,,
464,positive,2017-10-27 17:16:08+00:00,,,
465,positive,2017-10-27 16:50:21+00:00,,,
466,positive,2017-10-27 16:09:28+00:00,,,
467,positive,2017-10-27 15:45:57+00:00,,,
468,negative,2017-10-27 15:44:50+00:00,,,
469,positive,2017-10-27 15:40:00+00:00,,,
470,positive,2017-10-27 15:20:36+00:00,,,
471,negative,2017-10-27 15:15:44+00:00,,,
472,positive,2017-10-27 14:57:45+00:00,,,
473,negative,2017-10-27 14:54:36+00:00,,,
474,neutral,2017-10-27 14:39:28+00:00,,,
475,positive,2017-10-27 13:01:15+00:00,,,
476,positive,2017-10-27 08:45:04+00:00,,,
477,positive,2017-10-27 04:37:52+00:00,,,
478,positive,2017-10-27 04:37:52+00:00,,,
479,positive,2017-10-27 04:31:16+00:00,,,
480,positive,2017-10-27 00:45:15+00:00,,,
481,positive,2017-10-26 22:07:01+00:00,,,
482,neutral,2017-10-26 20:02:06+00:00,,,
483,negative,2017-10-26 19:52:40+00:00,,,
484,positive,2017-10-26 19:42:54+00:00,,,
485,positive,2017-10-26 19:25:26+00:00,,,
486,positive,2017-10-26 19:07:56+00:00,,,
487,positive,2017-10-26 18:40:46+00:00,,,
488,negative,2017-10-26 18:03:57+00:00,,,
489,positive,2017-10-26 17:54:19+00:00,,,
490,positive,2017-10-26 17:47:45+00:00,,,
491,negative,2017-10-26 17:46:42+00:00,,,
492,negative,2017-10-26 17:40:36+00:00,,,
493,positive,2017-10-26 17:32:22+00:00,,,
494,negative,2017-10-26 17:29:57+00:00,,,
495,negative,2017-10-26 17:23:05+00:00,,,
496,negative,2017-10-26 17:01:34+00:00,,,
497,positive,2017-10-26 16:51:25+00:00,,,
498,positive,2017-10-26 16:42:28+00:00,,,
499,negative,2017-10-26 16:42:15+00:00,,,
500,negative,2017-10-26 16:38:37+00:00,,,
501,neutral,2017-10-26 16:33:31+00:00,,,
502,positive,2017-10-26 16:32:54+00:00,,,
503,positive,2017-10-26 16:02:36+00:00,,,
504,neutral,2017-10-26 16:02:36+00:00,,,
505,negative,2017-10-26 15:55:09+00:00,,,
506,negative,2017-10-26 15:23:27+00:00,,,
507,neutral,2017-10-26 15:13:10+00:00,,,
508,positive,2017-10-26 14:47:53+00:00,,,
509,negative,2017-10-26 14:46:01+00:00,,,
510,positive,2017-10-26 14:46:00+00:00,,,
511,neutral,2017-10-26 14:26:26+00:00,,,
512,positive,2017-10-26 14:21:49+00:00,,,
513,negative,2017-10-26 14:21:00+00:00,,,
514,positive,2017-10-26 14:00:11+00:00,,,
515,positive,2017-10-26 12:23:07+00:00,,,
516,positive,2017-10-26 11:04:09+00:00,,,
517,positive,2017-10-26 09:29:50+00:00,,,
518,negative,2017-10-26 09:03:54+00:00,,,
519,positive,2017-10-26 06:41:54+00:00,,,
520,positive,2017-10-26 04:26:20+00:00,,,
521,positive,2017-10-26 04:22:09+00:00,,,
522,positive,2017-10-26 04:22:09+00:00,,,
523,positive,2017-10-26 04:20:42+00:00,,,
524,positive,2017-10-26 03:07:33+00:00,,,
525,positive,2017-10-25 23:45:31+00:00,,,
526,positive,2017-10-25 23:11:47+00:00,,,
