date,close,volume,open,high,low,score,DJI,GSPC,IXIC
8/15/17,58.56,8912871,58.94,59.01,58.29,17,21813.66992,2443.050049,6265.640137
8/14/17,59.78,5899971,59.15,60,59.13,14,21808.40039,2444.23999,6283.02002
8/11/17,58.97,4979984,58.73,59.27,58.59,28,21865.36914,2446.300049,6301.890137
8/10/17,59.07,5584793,59.68,59.69,59.06,12,21892.42969,2457.590088,6368.310059
8/9/17,59.9,5310893,59.42,59.965,59.26,6,21948.09961,2471.649902,6428.660156
8/8/17,59.46,5582400,59.88,60.12,59.36,9,21987.56055,2476.550049,6435.330078
8/7/17,59.79,4066712,59.82,60.1,59.71,9,21753.31055,2457.850098,6375.569824
8/4/17,59.76,4105948,60.17,60.34,59.63,13,21807.64063,2465.540039,6393.310059
8/3/17,60.14,5677110,59.8,60.53,59.64,11,21784.7793,2465.100098,6397.870117
8/2/17,59.79,4132948,59.55,59.95,59.27,13,21797.78906,2461.429932,6360.189941
8/1/17,59.84,9028600,59,59.94,58.9,15,22057.36914,2488.110107,6432.259766
7/31/17,59.05,6224990,58.71,59.12,58.33,9,22118.85938,2496.47998,6454.279785
7/28/17,58.67,5112725,58.15,58.735,57.97,13,22158.17969,2498.370117,6460.189941
7/27/17,58.15,8103612,58.6,58.68,57.985,12,22203.48047,2495.620117,6429.080078
7/26/17,58.36,5522246,59.09,59.13,58.32,20,22268.33984,2500.22998,6448.470215
7/25/17,59.39,5146517,59.32,59.52,58.92,12,22331.34961,2503.870117,6454.640137
7/24/17,58.95,7497800,59.69,59.7701,58.761,14,22370.80078,2506.649902,6461.319824
7/21/17,59.95,11048020,59,60,58.91,23,22412.58984,2508.23999,6456.040039
7/20/17,59.1,11905760,59.12,59.59,58.8,13,22359.23047,2500.600098,6422.689941
7/19/17,57.77,4434998,57.6,57.875,57.3925,16,22349.58984,2502.219971,6426.919922
7/18/17,57.65,4916874,57.74,58.08,57.47,31,22296.08984,2496.659912,6370.589844
7/17/17,57.79,6878816,58,58.35,57.755,11,22284.32031,2496.840088,6380.160156
7/14/17,58,6344849,57.95,58.21,57.64,17,22340.71094,2507.040039,6453.259766
7/13/17,57.94,8107976,58.22,58.58,57.93,34,22381.19922,2510.060059,6453.450195
7/12/17,58.22,7239490,58.31,58.75,58.1,13,22405.08984,2519.360107,6495.959961
7/11/17,58.18,7222299,58.54,58.93,58.04,16,22557.59961,2529.120117,6516.720215
7/10/17,58.73,8942165,57.89,58.81,57.68,6,22641.66992,2534.580078,6531.709961
7/7/17,57.98,8026045,57.4,58.08,57.03,19,22661.64063,2537.73999,6534.629883
7/6/17,57.16,9035228,57.45,57.72,57,6,22775.39063,2552.070068,6585.359863
7/5/17,57.56,16165830,58.24,58.29,57.51,5,22773.66992,2549.330078,6590.180176
7/3/17,58.65,9910021,58.37,59.01,58.33,7,22761.07031,2544.72998,6579.72998
6/30/17,59,46530150,56.6,59.71,56.5,36,22830.67969,2550.639893,6587.25
6/29/17,53.17,13334530,53.33,53.63,52.99,14,22872.89063,2555.23999,6603.549805
6/28/17,53.36,7513042,53.17,53.61,52.96,10,22841.00977,2550.929932,6591.509766
6/27/17,52.95,7867410,53.19,53.26,52.64,11,22871.7207,2553.169922,6605.799805
6/26/17,53.28,7834458,52.95,53.57,52.67,14,22956.96094,2557.639893,6624
6/23/17,52.85,8522104,52.15,52.915,51.67,24,22997.43945,2559.360107,6623.660156
6/22/17,52.4,10327580,52.6,52.62,52.09,16,23157.59961,2561.26001,6624.220215
6/21/17,52.59,13018700,51.9,52.685,51.9,1,23163.03906,2562.100098,6605.069824
6/20/17,51.56,10676450,52.05,52.13,51.1,4,23328.63086,2575.209961,6629.049805
6/19/17,52.02,11172470,51.42,52.22,51.4,6,23273.96094,2564.97998,6586.830078
6/16/17,51.1,25680970,51.75,51.84,50.79,13,23441.75977,2569.129883,6598.430176
6/15/17,52.9,16039290,54,54.05,52.73,1,23329.46094,2557.149902,6563.890137
6/14/17,54.66,6772551,54.48,54.67,53.95,21,23400.85938,2560.399902,6556.77002
6/13/17,54.31,8712854,54.03,54.66,53.84,12,23434.18945,2581.070068,6701.259766
6/12/17,54.03,9180069,53.51,54.25,53.5,13,23348.74023,2572.830078,6698.959961
6/9/17,53.46,8346810,53.2,53.47,52.8,8,23377.24023,2575.26001,6727.669922
6/8/17,53.2,7764790,53.54,54.14,53.15,21,23435.00977,2579.360107,6716.529785
6/7/17,53.23,7429273,52.79,53.36,52.75,11,23516.25977,2579.850098,6714.939941
6/6/17,52.48,8922847,52.9,53.1,52.43,10,23539.18945,2587.840088,6764.439941
6/5/17,53.01,5748870,53,53.23,52.7,7,23548.41992,2591.129883,6786.439941
6/2/17,52.98,18509320,52.7,53.01,52.36,14,23557.23047,2590.639893,6767.779785
6/1/17,52.3,13351020,53.06,53.3,52.21,12,23563.35938,2594.379883,6789.120117
5/31/17,52.99,8950286,53.02,53.2799,52.71,6,23461.93945,2584.620117,6750.049805
5/30/17,52.92,8038361,52.76,53.02,52.64,9,23422.21094,2582.300049,6750.939941
5/26/17,52.59,5919209,52.35,52.76,52.23,18,23439.69922,2584.840088,6757.600098
5/25/17,52.35,7627409,52.38,52.59,52.21,11,23409.4707,2578.870117,6737.870117
5/24/17,52.01,9402822,52.25,52.3,51.74,22,23271.2793,2564.620117,6706.209961
5/23/17,52.2,11087280,51.98,52.625,51.88,11,23458.35938,2585.639893,6793.290039
5/22/17,51.57,13671220,51.77,51.96,51.4,12,23358.24023,2578.850098,6782.790039
